System ID,System Reference,SD ID,Date Created,SD Status,Client,Assistant,NWD,Country,product search,general browsing,detailed browsing,adding to cart,selection of parameters,payment selection,purchase decision,payment,payment posted,product shipping,product delivery
182676,,29837SD,12-09-2021,Approved,Iines Häkkinen,"Joni, Risku (10928729) (10927829)",1,Finland,0,2,2,0,0,0,0,0,0,1,0
1878981,,21091SD,12-09-2022,Approved,Victoria Frederiksen,"Pedersen, Nana (00091828)",2,Denmark,1,1,1,0,0,0,1,0,2,0,0
112422-2,,20011SD,13-02-2022,Suspended,Magnus Thomsen,"Nørgaard, Aase (09827198)",2,Denmark,3,1,3,1,0,2,0,2,0,0,1
,119928,20000SD,24-12-2020,Suspended,Amin Olofsson,"Sandström, Agnes (00092810)",2,Sweden,0,0,0,0,3,3,2,3,1,0,2
,E9823-239328-22,20100SD,24-12-2021,Suspended,Victoria Frederiksen,"Pedersen, Nana (00091828)",2,Denmark,0,0,1,1,2,1,0,0,3,3,0
112422-5,,20015SD,12-09-2021,Active,Caesar Hermansson,"Sandström, Agnes (00092810)",2,Sweden,2,2,0,3,1,3,0,2,0,0,2
112422-4,,24014SD,12-09-2020,Suspended,Pétur Hermanníusson,"Ólason, Hallsteinn (09827198)",2,Iceland,1,0,0,0,2,0,2,3,3,0,0
112422-3,,24313SD,12-09-2021,Suspended,Eva Aasbø,"Gundersen, Tuva (98728712)",2,Norway,1,0,1,2,0,1,2,3,2,3,3
102902-2,,22312SD,12-09-2021,Suspended,Iines Häkkinen,"Joni, Risku (10928729) (10927829)",1,Finland,1,2,3,1,1,1,3,2,3,1,3
82128,,21111SD,13-07-2022,Suspended,Caesar Hermansson,"Sandström, Agnes (00092810)",1,Sweden,1,0,0,1,1,2,2,2,2,2,2
112422-1,,29183SD,20-01-2021,Active,Åke Haapoja,"Joni, Risku (10928729) (10927829)",2,Finland,0,0,3,1,2,2,0,0,0,0,0
173236,,29299SD,21-12-2020,Active,Alberte Hedegaard,"Pedersen, Nana (00091828)",2,Denmark,0,3,2,1,2,3,0,0,0,0,2
129302,,28888SD,11-02-2022,Active,Caesar Hermansson,"Sandström, Agnes (00092810)",1,Sweden,0,2,0,0,3,3,2,0,1,2,3
173236,,29238SD,23-12-2020,Active,Åke Haapoja,"Joni, Risku  (10928729)",2,Finland,3,0,0,3,3,0,0,3,3,1,0
,sdkjd ksdj,29991SD,12-02-2019,Active,Maximus Wallin,"Sandström, Agnes (00092810)",2,Sweden,0,0,0,0,0,0,0,0,0,0,0
98267,,20900SD,11-02-2022,Active,Maximus Wallin,"Sandström, Agnes (00092810)",1,Sweden,0,0,0,0,0,2,2,2,2,0,2
678833-1,,309090SD,12-02-2019,Active,Åke Haapoja,"Joni, Risku (10928729) (10927829)",2,Finland,1,0,0,0,2,0,0,0,0,0,0
678833-2,,309387SD,12-02-2019,Active,Amin Olofsson,"Sandström, Agnes (00092810)",2,Sweden,2,2,0,3,1,3,0,2,0,0,0
,please type 127,21837SD,12-03-2022,Active,Alberte Hedegaard,"Pedersen, Nana (00091828)",1,Denmark,1,0,1,0,0,0,0,2,2,0,0
,`,21091SD,12-04-2021,Active,Alberte Hedegaard,"Pedersen, Nana (00091828)",2,Denmark,0,0,3,1,2,2,0,1,0,0,0
,99287227,22302SD,9-09-2022,Active,Pétur Hermanníusson,"Ólason, Hallsteinn (09827198)",2,Iceland,0,0,0,0,0,0,0,0,0,0,0
,156647-2,21119SD,26-07-2022,Active,Benjamin Nilsen,"Gundersen, Tuva (98728712)",2,Norway,1,1,0,0,0,0,0,0,0,0,0
556655,,31091SD,12-09-2022,Rejected,Victoria Frederiksen,"Nørgaard, Aase (09827198)",2,Denmark,1,0,1,0,0,0,0,2,0,0,0
435346,,29099SD,12-03-2022,Active,Sointu Soini,"Joni, Risku (10928729) (10927829)",1,Finland,1,1,0,0,0,0,0,0,0,0,0
503872,,38888SD,11-02-2022,Active,Maximus Wallin,"Sandström, Agnes (00092810)",1,Sweden,1,1,0,0,0,0,0,0,0,0,0
342999,,292833SD,12-09-2021,Active,Alberte Hedegaard,"Pedersen, Nana (00091828)",2,Denmark,1,1,0,0,0,1,1,1,0,0,0
944444,,312342SD,23-12-2020,Active,Maximus Wallin,"Sandström, Agnes (00092810)",1,Sweden,0,0,0,0,0,0,0,0,0,0,0
726266,,312922SD,23-12-2020,Active,Maximus Wallin,"Sandström, Agnes (00092810)",1,Sweden,0,0,0,1,0,0,0,0,0,0,0
